,index,ANA,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,L.A,MIN,MTL,N.J,NSH,NYI,NYR,OTT,PHI,PIT,S.J,STL,T.B,TOR,VAN,VGK,WPG,WSH
0,ANA,,Slight Disadvantage,Toss-Up,Favorite,Underdog,Underdog,Toss-Up,Toss-Up,Toss-Up,Toss-Up,Toss-Up,Toss-Up,Unlucky,Slight Edge,Underdog,Toss-Up,Underdog,Favorite,Underdog,Favorite,Favorite,Favorite,Underdog,Favorite,Toss-Up,Toss-Up,Dominate,Underdog,Dominate,Favorite,Underdog
1,ARI,Slight Edge,,Dominate,Favorite,Toss-Up,Favorite,Dominate,Toss-Up,Favorite,Dominate,Dominate,Favorite,Favorite,Toss-Up,Underdog,Toss-Up,Favorite,Toss-Up,Favorite,Toss-Up,Struggling,Favorite,Dominate,Favorite,Underdog,Toss-Up,Underdog,Struggling,Favorite,Dominate,Toss-Up
2,BOS,Toss-Up,Struggling,,Toss-Up,Underdog,Toss-Up,Underdog,Underdog,Dominate,Toss-Up,Underdog,Toss-Up,Favorite,Struggling,Struggling,Underdog,Unlucky,Toss-Up,Struggling,Favorite,Struggling,Toss-Up,Toss-Up,Underdog,Toss-Up,Toss-Up,Toss-Up,Favorite,Underdog,Favorite,Favorite
3,BUF,Underdog,Underdog,Toss-Up,,Dominate,Favorite,Toss-Up,Dominate,Favorite,Dominate,Underdog,Toss-Up,Favorite,Toss-Up,Toss-Up,Favorite,Favorite,Favorite,Favorite,Favorite,Toss-Up,Favorite,Favorite,Dominate,Dominate,Dominate,Dominate,Toss-Up,Favorite,Favorite,Favorite
4,CAR,Favorite,Toss-Up,Favorite,Struggling,,Toss-Up,Favorite,Underdog,Toss-Up,Underdog,Favorite,Underdog,Struggling,Toss-Up,Underdog,Struggling,Favorite,Unlucky,Favorite,Favorite,Underdog,Underdog,Toss-Up,Favorite,Favorite,Favorite,Toss-Up,Struggling,Toss-Up,Dominate,Favorite
5,CBJ,Favorite,Underdog,Toss-Up,Underdog,Toss-Up,,Toss-Up,Toss-Up,Underdog,Unlucky,Struggling,Dominate,Struggling,Favorite,Toss-Up,Toss-Up,Unlucky,Toss-Up,Toss-Up,Struggling,Struggling,Underdog,Dominate,Underdog,Favorite,Lucky,Toss-Up,Favorite,Underdog,Toss-Up,Toss-Up
6,CGY,Toss-Up,Struggling,Favorite,Toss-Up,Underdog,Toss-Up,,Struggling,Struggling,Lucky,Underdog,Slight Edge,Toss-Up,Underdog,Toss-Up,Favorite,Struggling,Underdog,Struggling,Toss-Up,Struggling,Underdog,Toss-Up,Dominate,Toss-Up,Favorite,Favorite,Slight Disadvantage,Favorite,Toss-Up,Toss-Up
7,CHI,Toss-Up,Toss-Up,Favorite,Struggling,Favorite,Toss-Up,Dominate,,Slight Edge,Favorite,Underdog,Toss-Up,Underdog,Dominate,Slight Disadvantage,Toss-Up,Favorite,Favorite,Toss-Up,Struggling,Underdog,Lucky,Underdog,Dominate,Slight Disadvantage,Dominate,Favorite,Favorite,Dominate,Dominate,Toss-Up
8,COL,Toss-Up,Underdog,Struggling,Underdog,Toss-Up,Favorite,Dominate,Slight Disadvantage,,Underdog,Struggling,Toss-Up,Unlucky,Favorite,Underdog,Toss-Up,Toss-Up,Favorite,Favorite,Struggling,Dominate,Underdog,Unlucky,Dominate,Favorite,Dominate,Struggling,Toss-Up,Toss-Up,Slight Disadvantage,Dominate
9,DAL,Toss-Up,Struggling,Toss-Up,Struggling,Favorite,Lucky,Unlucky,Underdog,Favorite,,Struggling,Underdog,Struggling,Struggling,Underdog,Toss-Up,Toss-Up,Favorite,Underdog,Underdog,Favorite,Toss-Up,Favorite,Underdog,Underdog,Lucky,Dominate,Favorite,Favorite,Favorite,Toss-Up
10,DET,Toss-Up,Struggling,Favorite,Favorite,Underdog,Dominate,Favorite,Favorite,Dominate,Dominate,,Toss-Up,Favorite,Favorite,Toss-Up,Favorite,Underdog,Underdog,Favorite,Underdog,Underdog,Favorite,Toss-Up,Toss-Up,Favorite,Dominate,Favorite,Toss-Up,Toss-Up,Favorite,Favorite
11,EDM,Toss-Up,Underdog,Toss-Up,Toss-Up,Favorite,Struggling,Slight Disadvantage,Toss-Up,Toss-Up,Favorite,Toss-Up,,Toss-Up,Toss-Up,Underdog,Struggling,Toss-Up,Dominate,Underdog,Toss-Up,Toss-Up,Favorite,Lucky,Dominate,Dominate,Dominate,Favorite,Toss-Up,Toss-Up,Dominate,Lucky
12,FLA,Lucky,Underdog,Underdog,Underdog,Dominate,Dominate,Toss-Up,Favorite,Lucky,Dominate,Underdog,Toss-Up,,Toss-Up,Toss-Up,Toss-Up,Toss-Up,Toss-Up,Struggling,Favorite,Underdog,Underdog,Dominate,Underdog,Toss-Up,Favorite,Toss-Up,Toss-Up,Toss-Up,Toss-Up,Underdog
13,L.A,Slight Disadvantage,Toss-Up,Dominate,Toss-Up,Toss-Up,Underdog,Favorite,Struggling,Underdog,Dominate,Underdog,Toss-Up,Toss-Up,,Toss-Up,Underdog,Favorite,Dominate,Favorite,Underdog,Toss-Up,Underdog,Favorite,Favorite,Toss-Up,Favorite,Favorite,Favorite,Slight Disadvantage,Dominate,Toss-Up
14,MIN,Favorite,Favorite,Dominate,Toss-Up,Favorite,Toss-Up,Toss-Up,Slight Edge,Favorite,Favorite,Toss-Up,Favorite,Toss-Up,Toss-Up,,Unlucky,Toss-Up,Favorite,Toss-Up,Struggling,Struggling,Toss-Up,Favorite,Toss-Up,Underdog,Struggling,Toss-Up,Toss-Up,Struggling,Struggling,Favorite
15,MTL,Toss-Up,Toss-Up,Favorite,Underdog,Dominate,Toss-Up,Underdog,Toss-Up,Toss-Up,Toss-Up,Underdog,Dominate,Toss-Up,Favorite,Lucky,,Lucky,Lucky,Underdog,Struggling,Struggling,Favorite,Favorite,Dominate,Favorite,Dominate,Favorite,Struggling,Underdog,Struggling,Favorite
16,N.J,Favorite,Underdog,Lucky,Underdog,Underdog,Lucky,Dominate,Underdog,Toss-Up,Toss-Up,Favorite,Toss-Up,Toss-Up,Underdog,Toss-Up,Unlucky,,Favorite,Dominate,Toss-Up,Underdog,Toss-Up,Underdog,Dominate,Dominate,Toss-Up,Favorite,Underdog,Toss-Up,Lucky,Dominate
17,NSH,Underdog,Toss-Up,Toss-Up,Underdog,Lucky,Toss-Up,Favorite,Underdog,Underdog,Underdog,Favorite,Struggling,Toss-Up,Struggling,Underdog,Unlucky,Underdog,,Struggling,Toss-Up,Toss-Up,Underdog,Toss-Up,Toss-Up,Slight Disadvantage,Underdog,Toss-Up,Struggling,Toss-Up,Slight Edge,Struggling
18,NYI,Favorite,Underdog,Dominate,Underdog,Underdog,Toss-Up,Dominate,Toss-Up,Underdog,Favorite,Underdog,Favorite,Dominate,Underdog,Toss-Up,Favorite,Struggling,Dominate,,Underdog,Underdog,Underdog,Favorite,Underdog,Unlucky,Favorite,Favorite,Underdog,Toss-Up,Toss-Up,Favorite
19,NYR,Underdog,Toss-Up,Underdog,Underdog,Underdog,Dominate,Toss-Up,Dominate,Dominate,Favorite,Favorite,Toss-Up,Underdog,Favorite,Dominate,Dominate,Toss-Up,Toss-Up,Favorite,,Favorite,Dominate,Favorite,Underdog,Toss-Up,Dominate,Dominate,Unlucky,Favorite,Favorite,Favorite
20,OTT,Underdog,Dominate,Dominate,Toss-Up,Favorite,Dominate,Dominate,Favorite,Struggling,Underdog,Favorite,Toss-Up,Favorite,Toss-Up,Dominate,Dominate,Favorite,Toss-Up,Favorite,Underdog,,Toss-Up,Favorite,Toss-Up,Favorite,Dominate,Underdog,Dominate,Dominate,Toss-Up,Favorite
21,PHI,Underdog,Underdog,Toss-Up,Underdog,Favorite,Favorite,Favorite,Unlucky,Favorite,Toss-Up,Underdog,Underdog,Favorite,Favorite,Toss-Up,Underdog,Toss-Up,Favorite,Favorite,Struggling,Toss-Up,,Dominate,Favorite,Toss-Up,Favorite,Underdog,Toss-Up,Toss-Up,Toss-Up,Favorite
22,PIT,Favorite,Struggling,Toss-Up,Underdog,Toss-Up,Struggling,Toss-Up,Favorite,Lucky,Underdog,Toss-Up,Unlucky,Struggling,Underdog,Underdog,Underdog,Favorite,Toss-Up,Underdog,Underdog,Underdog,Struggling,,Favorite,Toss-Up,Favorite,Favorite,Favorite,Toss-Up,Underdog,Struggling
23,S.J,Underdog,Underdog,Favorite,Struggling,Underdog,Favorite,Struggling,Struggling,Struggling,Favorite,Toss-Up,Struggling,Favorite,Underdog,Toss-Up,Struggling,Struggling,Toss-Up,Favorite,Favorite,Toss-Up,Underdog,Underdog,,Underdog,Favorite,Lucky,Underdog,Favorite,Toss-Up,Dominate
24,STL,Toss-Up,Favorite,Toss-Up,Struggling,Underdog,Underdog,Toss-Up,Slight Edge,Underdog,Favorite,Underdog,Struggling,Toss-Up,Toss-Up,Favorite,Underdog,Struggling,Slight Edge,Lucky,Toss-Up,Underdog,Toss-Up,Toss-Up,Favorite,,Toss-Up,Struggling,Struggling,Underdog,Dominate,Toss-Up
25,T.B,Toss-Up,Toss-Up,Toss-Up,Struggling,Underdog,Unlucky,Underdog,Struggling,Struggling,Unlucky,Struggling,Struggling,Underdog,Underdog,Dominate,Struggling,Toss-Up,Favorite,Underdog,Struggling,Struggling,Underdog,Underdog,Underdog,Toss-Up,,Struggling,Struggling,Dominate,Toss-Up,Underdog
26,TOR,Struggling,Favorite,Toss-Up,Struggling,Toss-Up,Toss-Up,Underdog,Underdog,Dominate,Struggling,Underdog,Underdog,Toss-Up,Underdog,Toss-Up,Underdog,Underdog,Toss-Up,Underdog,Struggling,Favorite,Favorite,Underdog,Unlucky,Dominate,Dominate,,Toss-Up,Underdog,Underdog,Toss-Up
27,VAN,Favorite,Dominate,Underdog,Toss-Up,Dominate,Underdog,Slight Edge,Underdog,Toss-Up,Underdog,Toss-Up,Toss-Up,Toss-Up,Underdog,Toss-Up,Dominate,Favorite,Dominate,Favorite,Lucky,Struggling,Toss-Up,Underdog,Favorite,Dominate,Dominate,Toss-Up,,Dominate,Dominate,Dominate
28,VGK,Struggling,Underdog,Favorite,Underdog,Toss-Up,Favorite,Underdog,Struggling,Toss-Up,Underdog,Toss-Up,Toss-Up,Toss-Up,Slight Edge,Dominate,Favorite,Toss-Up,Toss-Up,Toss-Up,Underdog,Struggling,Toss-Up,Toss-Up,Underdog,Favorite,Struggling,Favorite,Struggling,,Toss-Up,Underdog
29,WPG,Underdog,Struggling,Underdog,Underdog,Struggling,Toss-Up,Toss-Up,Struggling,Slight Edge,Underdog,Underdog,Struggling,Toss-Up,Struggling,Dominate,Dominate,Unlucky,Slight Disadvantage,Toss-Up,Underdog,Toss-Up,Toss-Up,Favorite,Toss-Up,Struggling,Toss-Up,Favorite,Struggling,Toss-Up,,Toss-Up
30,WSH,Favorite,Toss-Up,Underdog,Underdog,Underdog,Toss-Up,Toss-Up,Toss-Up,Struggling,Toss-Up,Underdog,Unlucky,Favorite,Toss-Up,Underdog,Underdog,Struggling,Dominate,Underdog,Underdog,Underdog,Underdog,Dominate,Struggling,Toss-Up,Favorite,Toss-Up,Struggling,Favorite,Toss-Up,
