,Game,Team,Unnamed: 2,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,Attendance
83,"2019-10-08 - Kings 4, Flames 3",Calgary Flames,Limited ReportFull Report,52.866666666667,44.57,59.19,42.95,31.23,47.3,39.77,22.41,38.27,36.93,1.87,3.18,37.0,1.57,2.73,36.6,21.14,32.14,39.68,5.16,10.03,33.98,4.29,6.66,39.19,0.91,2.13,29.89,21.16,68.02,15.67,22.51,41.05,8.28,17.28,32.4,1.03,0.0,100.00,12.41,100.00,19.53,23.25,45.66,8.97,12.96,40.92,0.0,1.11,0.00,0.0,91.43,8.34,91.69,1.0,18150
84,"2019-10-08 - Bruins 4, Golden Knights 3",Boston Bruins,Limited ReportFull Report,49.26666666666701,57.68,42.63,57.5,44.44,33.77,56.82,32.62,23.92,57.7,3.15,0.99,76.1,1.98,2.0,49.79,24.81,24.23,50.59,5.51,5.5,50.06,5.5,5.53,49.89,1.04,0.99,51.13,18.83,82.09,19.42,18.65,51.01,10.62,9.62,52.46,1.05,0.0,100.00,9.90,100.00,28.29,15.59,64.47,15.61,7.72,66.92,1.11,0.0,100.00,7.12,100.0,9.65,95.87,1.055,18223
85,"2019-10-08 - Bruins 4, Golden Knights 3",Vegas Golden Knights,Limited ReportFull Report,49.26666666666701,42.63,57.68,42.5,33.77,44.44,43.18,23.92,32.62,42.3,0.99,3.15,23.9,2.0,1.98,50.21,24.23,24.81,49.41,5.5,5.51,49.94,5.53,5.5,50.11,0.99,1.04,48.87,17.91,81.17,18.65,19.42,48.99,9.62,10.62,47.54,0.0,1.05,0.00,0.00,90.10,15.59,28.29,35.53,7.72,15.61,33.08,0.0,1.11,0.00,0.0,92.88,4.13,90.35,0.945,18223
86,"2019-10-09 - Canadiens 4, Sabres 5",Montreal Canadiens,Limited ReportFull Report,47.35,37.38,40.68,47.89,26.26,32.25,44.89,17.26,24.21,41.62,2.03,1.93,51.18,1.32,1.19,52.58,17.62,18.56,48.7,5.2,6.73,43.59,3.1,4.86,38.96,0.0,0.99,0.00,0.00,79.61,12.35,11.93,50.85,7.29,6.88,51.45,0.0,0.95,0.00,0.00,86.21,17.86,17.57,50.4,6.68,9.42,41.49,1.87,0.0,100.00,28.0,100.0,11.74,92.02,1.038,15383
87,"2019-10-09 - Canadiens 4, Sabres 5",Buffalo Sabres,Limited ReportFull Report,47.35,40.68,37.38,52.11,32.25,26.26,55.11,24.21,17.26,58.38,1.93,2.03,48.82,1.19,1.32,47.42,18.56,17.62,51.3,6.73,5.2,56.41,4.86,3.1,61.04,0.99,0.0,100.00,20.39,100.00,11.93,12.35,49.15,6.88,7.29,48.55,0.95,0.0,100.00,13.79,100.00,17.57,17.86,49.6,9.42,6.68,58.51,0.0,1.87,0.00,0.0,72.0,7.98,88.26,0.9620000000000001,15383
88,"2019-10-09 - Devils 0, Flyers 4",New Jersey Devils,Limited ReportFull Report,45.5,31.77,49.1,39.29,24.42,35.8,40.55,18.73,24.63,43.19,0.0,1.98,0.0,1.16,2.38,32.8,13.08,29.87,30.45,4.04,8.78,31.51,2.05,7.94,20.49,0.0,1.94,0.00,0.00,75.54,8.89,21.47,29.29,5.05,11.12,31.24,0.0,0.0,-,0.00,100.00,13.17,14.44,47.71,8.52,3.31,72.02,0.0,0.0,-,0.0,100.0,0.0,91.96,0.92,19658
89,"2019-10-09 - Devils 0, Flyers 4",Philadelphia Flyers,Limited ReportFull Report,45.5,49.1,31.77,60.71,35.8,24.42,59.45,24.63,18.73,56.81,1.98,0.0,100.0,2.38,1.16,67.2,29.87,13.08,69.55,8.78,4.04,68.49,7.94,2.05,79.51,1.94,0.0,100.00,24.46,100.00,21.47,8.89,70.71,11.12,5.05,68.76,0.0,0.0,-,0.00,100.00,14.44,13.17,52.29,3.31,8.52,27.98,0.0,0.0,-,0.0,100.0,8.04,100.0,1.08,19658
90,"2019-10-09 - Kings 2, Canucks 8",Los Angeles Kings,Limited ReportFull Report,48.1,49.26,51.47,48.9,37.63,35.48,51.47,26.76,21.6,55.33,2.01,6.93,22.46,1.99,1.78,52.71,28.55,28.15,50.35,5.94,7.17,45.32,3.95,5.2,43.2,1.02,3.88,20.84,25.85,25.28,21.79,21.52,50.31,15.24,9.38,61.9,1.0,1.92,34.21,6.55,79.54,17.64,17.69,49.93,7.81,5.71,57.74,0.0,1.06,0.00,0.0,81.43,7.51,67.91,0.754,18955
91,"2019-10-09 - Kings 2, Canucks 8",Vancouver Canucks,Limited ReportFull Report,48.1,51.47,49.26,51.1,35.48,37.63,48.53,21.6,26.76,44.67,6.93,2.01,77.54,1.78,1.99,47.29,28.15,28.55,49.65,7.17,5.94,54.68,5.2,3.95,56.8,3.88,1.02,79.16,74.72,74.15,21.52,21.79,49.69,9.38,15.24,38.1,1.92,1.0,65.79,20.46,93.45,17.69,17.64,50.07,5.71,7.81,42.26,1.06,0.0,100.00,18.57,100.0,32.09,92.49,1.246,18955
92,"2019-10-10 - Lightning 7, Maple Leafs 3",Tampa Bay Lightning,Limited ReportFull Report,51.866666666667,52.46,46.96,52.77,39.53,31.56,55.61,28.45,21.8,56.63,5.32,1.87,74.02,2.07,1.24,62.42,22.38,23.38,48.91,9.98,4.34,69.7,8.89,2.64,77.09,3.2,0.92,77.70,35.98,65.25,12.65,18.82,40.2,5.55,8.45,39.65,1.04,0.95,52.32,18.72,88.79,23.07,22.78,50.32,10.77,10.62,50.34,1.12,0.0,100.00,10.37,100.0,18.7,91.43,1.101,19387
93,"2019-10-10 - Lightning 7, Maple Leafs 3",Toronto Maple Leafs,Limited ReportFull Report,51.866666666667,46.96,52.46,47.23,31.56,39.53,44.39,21.8,28.45,43.37,1.87,5.32,25.98,1.24,2.07,37.58,23.38,22.38,51.09,4.34,9.98,30.3,2.64,8.89,22.91,0.92,3.2,22.30,34.75,64.02,18.82,12.65,59.8,8.45,5.55,60.35,0.95,1.04,47.68,11.21,81.28,22.78,23.07,49.68,10.62,10.77,49.66,0.0,1.12,0.00,0.0,89.63,8.57,81.3,0.899,19387
94,"2019-10-10 - Red Wings 4, Canadiens 2",Detroit Red Wings,Limited ReportFull Report,51.433333333332996,58.17,44.09,56.88,44.96,26.86,62.6,28.73,23.27,55.25,2.11,0.92,69.58,2.69,0.95,73.93,29.16,14.55,66.72,13.25,3.53,78.96,10.96,2.66,80.47,1.06,0.0,100.00,9.66,100.00,16.02,10.92,59.47,8.4,6.58,56.06,1.05,0.96,52.27,12.52,85.41,24.65,24.2,50.46,8.37,13.11,38.98,0.0,0.0,-,0.0,100.0,7.36,96.03,1.034,21302
95,"2019-10-10 - Red Wings 4, Canadiens 2",Montreal Canadiens,Limited ReportFull Report,51.433333333332996,44.09,58.17,43.12,26.86,44.96,37.4,23.27,28.73,44.75,0.92,2.11,30.42,0.95,2.69,26.07,14.55,29.16,33.28,3.53,13.25,21.04,2.66,10.96,19.53,0.0,1.06,0.00,0.00,90.34,10.92,16.02,40.53,6.58,8.4,43.94,0.96,1.05,47.73,14.59,87.48,24.2,24.65,49.54,13.11,8.37,61.02,0.0,0.0,-,0.0,100.0,3.97,92.64,0.966,21302
96,"2019-10-10 - Oilers 4, Devils 3",Edmonton Oilers,Limited ReportFull Report,52.433333333332996,29.41,43.53,40.32,19.27,32.41,37.29,14.14,25.52,35.65,1.01,2.83,26.32,0.97,1.8,35.02,11.37,19.3,37.08,1.07,5.67,15.81,1.05,4.73,18.22,0.0,0.94,0.00,0.00,80.10,10.17,13.75,42.52,4.06,10.74,27.45,0.0,1.9,0.00,0.00,82.34,17.14,23.96,41.71,8.94,10.04,47.1,0.94,0.0,100.00,10.49,100.0,7.15,88.91,0.961,14586
97,"2019-10-10 - Oilers 4, Devils 3",New Jersey Devils,Limited ReportFull Report,52.433333333332996,43.53,29.41,59.68,32.41,19.27,62.71,25.52,14.14,64.35,2.83,1.01,73.68,1.8,0.97,64.98,19.3,11.37,62.92,5.67,1.07,84.19,4.73,1.05,81.78,0.94,0.0,100.00,19.90,100.00,13.75,10.17,57.48,10.74,4.06,72.55,1.9,0.0,100.00,17.66,100.00,23.96,17.14,58.29,10.04,8.94,52.9,0.0,0.94,0.00,0.0,89.51,11.09,92.85,1.0390000000000001,14586
98,"2019-10-10 - Ducks 1, Penguins 2",Anaheim Ducks,Limited ReportFull Report,43.48333333333299,41.3,40.22,50.66,32.42,30.21,51.77,27.25,19.57,58.21,1.01,0.94,51.74,1.88,1.54,54.97,20.65,19.14,51.9,10.53,3.8,73.47,7.32,2.9,71.61,1.01,0.0,100.00,13.81,100.00,10.11,15.51,39.47,8.13,8.74,48.17,0.0,0.95,0.00,0.00,89.16,16.03,19.88,44.64,10.88,7.98,57.69,0.0,0.0,-,0.0,100.0,3.71,95.18,0.9890000000000001,18414
99,"2019-10-10 - Ducks 1, Penguins 2",Pittsburgh Penguins,Limited ReportFull Report,43.48333333333299,40.22,41.3,49.34,30.21,32.42,48.23,19.57,27.25,41.79,0.94,1.01,48.26,1.54,1.88,45.03,19.14,20.65,48.1,3.8,10.53,26.53,2.9,7.32,28.39,0.0,1.01,0.00,0.00,86.19,15.51,10.11,60.53,8.74,8.13,51.83,0.95,0.0,100.00,10.84,100.00,19.88,16.03,55.36,7.98,10.88,42.31,0.0,0.0,-,0.0,100.0,4.82,96.29,1.011,18414
100,"2019-10-10 - Blues 6, Senators 4",St Louis Blues,Limited ReportFull Report,52.383333333333,51.76,56.42,47.85,42.38,41.74,50.38,30.43,27.08,52.91,4.14,2.86,59.15,1.86,2.25,45.3,23.27,20.31,53.4,7.24,7.73,48.38,6.12,6.94,46.83,1.01,0.94,51.76,16.52,86.44,15.76,12.58,55.61,10.02,6.82,59.51,1.05,1.9,35.61,10.50,72.10,26.16,32.0,44.98,13.34,11.38,53.96,1.99,0.0,100.00,14.94,100.0,13.59,89.45,1.03,9204
101,"2019-10-10 - Blues 6, Senators 4",Ottawa Senators,Limited ReportFull Report,52.383333333333,56.42,51.76,52.15,41.74,42.38,49.62,27.08,30.43,47.09,2.86,4.14,40.85,2.25,1.86,54.7,20.31,23.27,46.6,7.73,7.24,51.62,6.94,6.12,53.17,0.94,1.01,48.24,13.56,83.48,12.58,15.76,44.39,6.82,10.02,40.49,1.9,1.05,64.39,27.90,89.50,32.0,26.16,55.02,11.38,13.34,46.04,0.0,1.99,0.00,0.0,85.06,10.55,86.41,0.97,9204
102,"2019-10-10 - Capitals 5, Predators 6",Washington Capitals,Limited ReportFull Report,48.716666666667,37.33,50.07,42.71,28.5,39.18,42.12,19.92,30.82,39.25,2.11,4.64,31.3,1.22,1.76,41.01,12.75,16.54,43.53,5.33,10.02,34.7,4.22,9.22,31.37,1.06,1.84,36.57,25.11,80.09,7.49,6.31,54.3,5.23,3.73,58.36,1.05,1.92,35.38,20.12,48.50,22.56,29.21,43.57,10.5,15.97,39.67,0.0,0.95,0.00,0.0,94.07,10.61,84.95,0.956,17386
103,"2019-10-10 - Capitals 5, Predators 6",Nashville Predators,Limited ReportFull Report,48.716666666667,50.07,37.33,57.29,39.18,28.5,57.88,30.82,19.92,60.75,4.64,2.11,68.7,1.76,1.22,58.99,16.54,12.75,56.47,10.02,5.33,65.3,9.22,4.22,68.63,1.84,1.06,63.43,19.91,74.89,6.31,7.49,45.7,3.73,5.23,41.64,1.92,1.05,64.62,51.50,79.88,29.21,22.56,56.43,15.97,10.5,60.33,0.95,0.0,100.00,5.93,100.0,15.05,89.39,1.044,17386
104,"2019-10-10 - Wild 2, Jets 5",Minnesota Wild,Limited ReportFull Report,49.25,58.69,31.77,64.88,41.23,24.7,62.54,33.36,19.68,62.89,2.07,1.87,52.55,1.77,0.98,64.34,21.45,11.58,64.94,7.39,4.68,61.22,6.32,1.83,77.53,1.06,0.92,53.56,16.74,49.91,13.89,6.95,66.64,8.1,5.96,57.59,0.0,0.0,-,0.00,100.00,32.82,16.23,66.91,17.05,11.15,60.47,0.94,0.95,49.79,5.5,91.51,6.2,90.51,0.9670000000000001,15325
105,"2019-10-10 - Wild 2, Jets 5",Winnipeg Jets,Limited ReportFull Report,49.25,31.77,58.69,35.12,24.7,41.23,37.46,19.68,33.36,37.11,1.87,2.07,47.45,0.98,1.77,35.66,11.58,21.45,35.06,4.68,7.39,38.78,1.83,6.32,22.47,0.92,1.06,46.44,50.09,83.26,6.95,13.89,33.36,5.96,8.1,42.41,0.0,0.0,-,0.00,100.00,16.23,32.82,33.09,11.15,17.05,39.53,0.95,0.94,50.21,8.49,94.5,9.49,93.8,1.033,15325
106,"2019-10-10 - Sharks 5, Blackhawks 4",San Jose Sharks,Limited ReportFull Report,51.066666666667004,57.18,31.49,64.49,38.95,31.38,55.39,27.64,25.52,52.0,3.08,3.77,44.93,2.34,2.11,52.51,27.07,20.14,57.33,13.64,11.4,54.46,10.35,7.63,57.56,2.07,1.88,52.35,19.99,75.32,13.47,8.69,60.78,7.3,6.8,51.79,0.0,1.9,0.00,0.00,72.12,27.36,9.95,73.32,10.04,10.05,49.97,0.94,0.0,100.00,9.35,100.0,11.14,85.21,0.963,21455
107,"2019-10-10 - Sharks 5, Blackhawks 4",Chicago Blackhawks,Limited ReportFull Report,51.066666666667004,31.49,57.18,35.51,31.38,38.95,44.61,25.52,27.64,48.0,3.77,3.08,55.07,2.11,2.34,47.49,20.14,27.07,42.67,11.4,13.64,45.54,7.63,10.35,42.44,1.88,2.07,47.65,24.68,80.01,8.69,13.47,39.22,6.8,7.3,48.21,1.9,0.0,100.00,27.88,100.00,9.95,27.36,26.68,10.05,10.04,50.03,0.0,0.94,0.00,0.0,90.65,14.79,88.86,1.037,21455
108,"2019-10-10 - Flames 3, Stars 2",Calgary Flames,Limited ReportFull Report,47.316666666667004,41.81,50.77,45.16,29.73,37.99,43.9,22.49,23.55,48.85,1.01,0.94,51.74,1.64,1.67,49.53,22.96,26.78,46.16,7.39,7.48,49.72,6.26,5.68,52.45,1.01,0.94,51.76,16.13,83.41,15.46,19.48,44.24,10.26,7.85,56.65,0.0,0.0,-,0.00,100.00,14.12,16.68,45.84,6.08,8.97,40.42,0.0,0.0,-,0.0,100.0,4.5,95.99,1.005,17989
109,"2019-10-10 - Flames 3, Stars 2",Dallas Stars,Limited ReportFull Report,47.316666666667004,50.77,41.81,54.84,37.99,29.73,56.1,23.55,22.49,51.15,0.94,1.01,48.26,1.67,1.64,50.47,26.78,22.96,53.84,7.48,7.39,50.28,5.68,6.26,47.55,0.94,1.01,48.24,16.59,83.87,19.48,15.46,55.76,7.85,10.26,43.35,0.0,0.0,-,0.00,100.00,16.68,14.12,54.16,8.97,6.08,59.58,0.0,0.0,-,0.0,100.0,4.01,95.5,0.995,17989
110,"2019-10-10 - Bruins 2, Avalanche 4",Boston Bruins,Limited ReportFull Report,53.833333333332995,53.7,49.63,51.97,44.29,39.34,52.95,36.69,30.2,54.85,2.13,1.87,53.32,1.92,1.91,50.15,23.32,20.46,53.27,4.26,8.19,34.23,3.16,6.35,33.25,0.0,0.92,0.00,0.00,85.54,19.01,12.24,60.84,13.46,7.75,63.45,1.05,0.95,52.60,7.82,87.77,28.35,27.22,51.02,17.98,15.98,52.95,1.11,0.0,100.00,6.18,100.0,5.81,93.82,0.996,18045
111,"2019-10-10 - Bruins 2, Avalanche 4",Colorado Avalanche,Limited ReportFull Report,53.833333333332995,49.63,53.7,48.03,39.34,44.29,47.05,30.2,36.69,45.15,1.87,2.13,46.68,1.91,1.92,49.85,20.46,23.32,46.73,8.19,4.26,65.77,6.35,3.16,66.75,0.92,0.0,100.00,14.46,100.00,12.24,19.01,39.16,7.75,13.46,36.55,0.95,1.05,47.40,12.23,92.18,27.22,28.35,48.98,15.98,17.98,47.05,0.0,1.11,0.00,0.0,93.82,6.18,94.19,1.004,18045
112,"2019-10-10 - Golden Knights 1, Coyotes 4",Vegas Golden Knights,Limited ReportFull Report,47.98333333333299,35.56,44.52,44.41,25.97,33.41,43.74,20.53,27.13,43.07,1.01,3.91,20.61,1.17,1.36,46.27,18.22,19.37,48.47,4.9,4.94,49.8,2.9,5.0,36.72,0.0,0.99,0.00,0.00,80.19,12.96,14.8,46.68,6.77,11.22,37.63,0.0,1.89,0.00,0.00,83.15,16.26,20.2,44.59,10.59,10.81,49.47,0.93,1.07,46.59,8.8,90.12,4.94,85.6,0.905,13864
113,"2019-10-10 - Golden Knights 1, Coyotes 4",Arizona Coyotes,Limited ReportFull Report,47.98333333333299,44.52,35.56,55.59,33.41,25.97,56.26,27.13,20.53,56.93,3.91,1.01,79.39,1.36,1.17,53.73,19.37,18.22,51.53,4.94,4.9,50.2,5.0,2.9,63.28,0.99,0.0,100.00,19.81,100.00,14.8,12.96,53.32,11.22,6.77,62.37,1.89,0.0,100.00,16.85,100.00,20.2,16.26,55.41,10.81,10.59,50.53,1.07,0.93,53.41,9.88,91.2,14.4,95.06,1.095,13864
114,"2019-10-11 - Panthers 2, Sabres 3",Florida Panthers,Limited ReportFull Report,47.883333333333,49.96,41.35,54.72,40.23,33.38,54.65,31.14,23.58,56.91,1.01,1.93,34.43,2.35,1.42,62.35,21.53,19.3,52.74,6.24,5.61,52.66,5.19,4.73,52.32,1.04,0.0,100.00,19.95,100.00,15.17,13.81,52.35,10.16,6.85,59.72,0.0,1.89,0.00,0.00,72.41,26.82,17.75,60.18,15.75,9.95,61.28,0.0,0.0,-,0.0,100.0,3.26,91.81,0.951,15638
115,"2019-10-11 - Panthers 2, Sabres 3",Buffalo Sabres,Limited ReportFull Report,47.883333333333,41.35,49.96,45.28,33.38,40.23,45.35,23.58,31.14,43.09,1.93,1.01,65.57,1.42,2.35,37.65,19.3,21.53,47.26,5.61,6.24,47.34,4.73,5.19,47.68,0.0,1.04,0.00,0.00,80.05,13.81,15.17,47.65,6.85,10.16,40.28,1.89,0.0,100.00,27.59,100.00,17.75,26.82,39.82,9.95,15.75,38.72,0.0,0.0,-,0.0,100.0,8.19,96.74,1.0490000000000002,15638
116,"2019-10-11 - Ducks 2, Blue Jackets 1",Anaheim Ducks,Limited ReportFull Report,49.933333333332996,44.04,45.67,49.09,27.71,33.57,45.21,21.27,21.65,49.56,1.08,0.95,53.08,1.08,1.61,40.19,21.82,16.73,56.6,3.3,7.37,30.91,3.28,4.67,41.26,0.0,0.0,-,0.00,100.00,18.68,9.24,66.91,7.42,4.73,61.07,0.0,0.0,-,0.00,100.00,16.8,21.31,44.09,9.47,11.21,45.81,1.11,0.88,55.70,11.72,92.12,5.06,95.61,1.0070000000000001,15368
117,"2019-10-11 - Ducks 2, Blue Jackets 1",Columbus Blue Jackets,Limited ReportFull Report,49.933333333332996,45.67,44.04,50.91,33.57,27.71,54.79,21.65,21.27,50.44,0.95,1.08,46.92,1.61,1.08,59.81,16.73,21.82,43.4,7.37,3.3,69.09,4.67,3.28,58.74,0.0,0.0,-,0.00,100.00,9.24,18.68,33.09,4.73,7.42,38.93,0.0,0.0,-,0.00,100.00,21.31,16.8,55.91,11.21,9.47,54.19,0.88,1.11,44.30,7.88,88.28,4.39,94.94,0.993,15368
118,"2019-10-11 - Islanders 2, Hurricanes 5",New York Islanders,Limited ReportFull Report,48.0,32.98,65.49,33.49,20.59,50.24,29.07,9.71,37.85,20.41,0.0,3.82,0.0,0.95,3.19,22.94,15.23,32.66,31.8,4.18,14.49,22.41,0.0,10.61,0.0,0.0,2.82,0.00,-,73.38,10.88,18.39,37.16,4.01,7.96,33.5,0.0,0.94,0.00,0.00,88.16,11.29,28.64,28.27,3.73,16.23,18.68,0.0,0.0,-,0.0,100.0,0.0,89.91,0.899,14875
119,"2019-10-11 - Islanders 2, Hurricanes 5",Carolina Hurricanes,Limited ReportFull Report,48.0,65.49,32.98,66.51,50.24,20.59,70.93,37.85,9.71,79.59,3.82,0.0,100.0,3.19,0.95,77.06,32.66,15.23,68.2,14.49,4.18,77.59,10.61,0.0,100.0,2.82,0.0,100.00,26.62,-,18.39,10.88,62.84,7.96,4.01,66.5,0.94,0.0,100.00,11.84,100.00,28.64,11.29,71.73,16.23,3.73,81.32,0.0,0.0,-,0.0,100.0,10.09,100.0,1.101,14875
120,"2019-10-12 - Oilers 4, Rangers 1",Edmonton Oilers,Limited ReportFull Report,48.216666666667,52.29,21.28,71.08,42.15,16.29,72.13,21.62,12.41,63.54,2.09,0.94,68.87,2.31,0.85,73.04,23.99,10.38,69.79,8.45,4.62,64.64,5.27,3.72,58.57,0.0,0.94,0.00,0.00,74.72,15.49,5.73,72.98,6.28,3.82,62.21,1.04,0.0,100.00,16.54,100.00,25.5,8.79,74.36,7.93,4.84,62.08,0.94,0.0,100.00,11.83,100.0,9.65,92.4,1.021,17177
121,"2019-10-12 - Oilers 4, Rangers 1",New York Rangers,Limited ReportFull Report,48.216666666667,21.28,52.29,28.92,16.29,42.15,27.87,12.41,21.62,36.46,0.94,2.09,31.13,0.85,2.31,26.96,10.38,23.99,30.21,4.62,8.45,35.36,3.72,5.27,41.43,0.94,0.0,100.00,25.28,100.00,5.73,15.49,27.02,3.82,6.28,37.79,0.0,1.04,0.00,0.00,83.46,8.79,25.5,25.64,4.84,7.93,37.92,0.0,0.94,0.00,0.0,88.17,7.6,90.35,0.9790000000000001,17177
122,"2019-10-12 - Lightning 2, Senators 4",Tampa Bay Lightning,Limited ReportFull Report,40.616666666667,41.7,45.06,48.06,26.43,36.69,41.87,17.22,24.84,40.95,2.02,2.83,41.68,1.33,1.76,43.04,19.76,20.33,49.29,5.26,9.6,35.42,2.05,7.76,20.87,1.01,1.88,34.92,49.39,75.72,14.37,10.79,57.11,6.15,5.83,51.33,1.06,0.95,52.74,17.22,83.73,16.03,19.08,45.65,6.92,8.07,46.15,0.0,0.0,-,0.0,100.0,11.74,88.6,1.003,11023
123,"2019-10-12 - Lightning 2, Senators 4",Ottawa Senators,Limited ReportFull Report,40.616666666667,45.06,41.7,51.94,36.69,26.43,58.13,24.84,17.22,59.05,2.83,2.02,58.32,1.76,1.33,56.96,20.33,19.76,50.71,9.6,5.26,64.58,7.76,2.05,79.13,1.88,1.01,65.08,24.28,50.61,10.79,14.37,42.89,5.83,6.15,48.67,0.95,1.06,47.26,16.27,82.78,19.08,16.03,54.35,8.07,6.92,53.85,0.0,0.0,-,0.0,100.0,11.4,88.26,0.997,11023
124,"2019-10-12 - Predators 4, Kings 7",Nashville Predators,Limited ReportFull Report,50.51666666666701,41.28,60.24,40.66,33.97,44.01,43.56,22.25,29.71,42.82,3.07,5.77,34.74,1.73,2.42,41.63,20.4,26.9,43.13,4.02,10.71,27.3,2.98,7.78,27.7,1.02,3.81,21.14,34.31,50.96,16.18,16.42,49.63,9.14,6.09,60.03,2.11,0.0,100.00,23.08,100.00,15.54,27.35,36.24,7.09,13.89,33.8,0.0,0.95,0.00,0.0,93.19,13.81,80.57,0.9440000000000001,18230
